obs_id,site,date,species,n_inds,n_leaf,w_weight,d_weight,leaf_area,SLA,LDMC,convex_hull_roundness,R,G,B,GCC,BCC,RCC,BITM,ExG,senesced,T1_TDD,T1_TDD_days,T3_TDD,T3_TDD_days,T1_GDD3,T1_GDD3_days,T3_GDD3,T3_GDD3_days,moist_GMD,T1_date_mean,T3_date_mean,moist_date_mean,T1_week_mean,T3_week_mean,moist_week_mean,T1_fortnight_mean,T3_fortnight_mean,moist_fortnight_mean,T1_month_mean,T3_month_mean,moist_month_mean
2024_0728,RA009,2024-07-16,Vaccinium vitis-idaea,4,4,0.03315,0.014325,0.9563859444183525,6.6763416713323025,0.4321266968325791,0.9210201990631482,0.3224912546160369,0.3713324594721802,0.2069437266769257,0.4140022545436072,0.22681159599633016,0.3591861494600626,0.3243095195991048,0.20613970731678233,0.05106114467461075,581.3335416666666,53,705.3075,57,577.9170833333334,51,702.1113958333333,53,2370.098132183908,14.0403125,17.547802083333334,37.025,12.800877976190476,14.99553869047619,40.85803571428571,12.559159226190475,13.902340773809524,42.24129464285714,12.226573660714283,13.501527529761905,44.92466517857143
2024_1581,RA009,2024-07-24,Vaccinium vitis-idaea,4,4,0.02345,0.0101,0.7325179060528795,7.252652535177025,0.4307036247334755,0.9102600279586296,0.2765064816176883,0.33440993267870195,0.21733330781250043,0.40638884639204087,0.2607318882618017,0.33287926534615747,0.2989103130949604,0.1764381285147659,0.00684051721877043,699.9677083333333,61,846.9881041666666,65,696.55125,59,843.792,61,2666.980423850575,14.248958333333333,12.727833333333333,35.369791666666664,14.8275,17.328752976190476,37.354166666666664,14.00014880952381,16.72444642857143,38.79866071428572,13.24258556547619,15.151212797619047,41.759300595238095
2024_2091,RA009,2024-07-30,Vaccinium vitis-idaea,3,3,0.03633333333333333,0.01696666666666666,1.0082017944483948,5.942250261974822,0.4669724770642202,0.8839721226624001,0.2496295027844957,0.29565743975491254,0.2174681731269213,0.3903186358009357,0.28294982299268656,0.32673154120637776,0.27187792780405223,0.12546263236056893,0.00368769513748273,783.0859375,67,933.50596875,71,779.6694791666666,65,930.3098645833334,67,2905.310632183908,12.891354166666666,13.960802083333334,37.30104166666667,13.909598214285714,14.177956845238096,39.1,14.410885416666666,16.299890625,38.229464285714286,13.485022321428572,15.101115699404762,40.235379464285714
2024_2639,RA009,2024-08-06,Vaccinium vitis-idaea,4,4,0.03475,0.016425,0.961574100488342,5.854332423064489,0.47266187050359704,0.8842283513479067,0.2860368424104241,0.33598782695809515,0.20065651818326025,0.4065252361756224,0.24622564149917264,0.34724912232520494,0.307719520818322,0.18220958148754385,0.01501057027908172,875.7473958333334,74,1041.3133125,78,872.3309375,72,1038.117208333333,74,3128.601257183908,13.636458333333334,16.293791666666667,26.679166666666667,13.23735119047619,15.401049107142857,31.898660714285715,13.573474702380953,14.789502976190477,35.49933035714286,13.715,15.749092261904762,37.30390625
2024_2713,RA009,2024-08-13,Vaccinium vitis-idaea,4,4,0.032575,0.0135,0.9507878433739202,7.04287291388089,0.41442824251726784,0.925398292429912,0.2781240101617995,0.32543008927492856,0.21357411618790292,0.3991841384339293,0.2606871599224963,0.3401287016435744,0.2957225517809191,0.1578480911699628,0.02234447618404107,968.9583333333334,81,1150.2919791666666,85,965.541875,79,1147.095875,81,3281.7804238505746,13.419583333333334,16.671479166666668,19.988541666666663,13.315848214285714,15.568380952380952,21.882738095238096,13.276599702380953,15.484715029761905,26.890699404761904,13.84374255952381,15.892302827380952,32.560081845238095
2024_2728,RA009,2024-08-20,Vaccinium vitis-idaea,4,4,0.034275,0.015375,0.9488568457347444,6.171426638925167,0.4485776805251641,0.8887904525068016,0.29942339772370963,0.3378992105228845,0.22582915633399,0.39438987191273633,0.2592462016520852,0.34636392643517855,0.303922239317387,0.14941606297223797,0.01668616012279694,1055.3480208333333,88,1237.0459895833333,92,1051.9315625,86,1233.849885416667,88,3439.0147988505746,11.306979166666666,10.719166666666666,24.507291666666667,12.341383928571428,12.393430059523808,22.462053571428573,12.828616071428572,13.98090550595238,22.172395833333333,13.20104538690476,14.38520424107143,28.835863095238096
2024_2743,RA009,2024-08-26,Vaccinium vitis-idaea,4,4,0.0365,0.01595,0.9241705418093178,5.794172675920488,0.436986301369863,0.9514553279541158,0.2648430676195179,0.3126010212357283,0.2162035631399533,0.3955221426369877,0.27080010694600165,0.3336777504170108,0.291717006403188,0.1397656678976287,0.00670080474735039,1121.7128125,94,1301.293875,98,1118.2963541666666,92,1298.0977708333332,94,3585.263757183908,9.8103125,8.629802083333333,27.860416666666666,11.095967261904764,10.709578869047618,24.39375,11.869575892857142,11.976669642857145,23.10513392857143,12.554222470238097,13.63388244047619,25.61622023809524
2024_2758,RA009,2024-09-02,Vaccinium vitis-idaea,4,4,0.03155,0.013525,0.9269662321268252,6.853724451954345,0.4286846275752773,0.9211157871204794,0.2900073427574987,0.33932069674690085,0.21046060339939457,0.4059090931721452,0.2509090698349324,0.34318183699292254,0.30530885392943896,0.17821197736967728,0.02757510027643266,1192.3651041666667,101,1371.2091458333334,105,1188.948645833333,99,1368.0130416666666,101,3774.2429238505742,9.9540625,10.885395833333334,26.142708333333335,10.093184523809525,9.987895833333331,26.99702380952381,10.594575892857144,10.348737351190476,25.695386904761904,11.794791666666669,12.363915178571428,24.011458333333337
2024_2782,RA009,2024-09-10,Vaccinium vitis-idaea,4,4,0.041275,0.018325,1.068545097316561,5.8310782936783685,0.44397334948516054,0.9229402619787456,0.2852020793968498,0.32997184892918396,0.22728885040228627,0.3928909107567793,0.2684565833191976,0.338652505924023,0.2970700229699938,0.14600466555259778,0.00829307575024506,1274.735520833333,109,1467.1608020833332,113,1271.3190625,107,1463.9646979166666,109,3984.276257183908,10.5875,12.635760416666669,38.971875,10.30373511904762,12.125976190476193,26.36443452380952,10.230394345238096,11.284294642857144,26.505877976190476,10.920613839285714,11.316743675595236,25.089136904761904
2024_2793,RA009,2024-09-17,Vaccinium vitis-idaea,4,4,0.04665,0.0185,1.264944582257934,6.837538282475319,0.3965702036441586,0.8951914138026498,0.2705123449217603,0.3112521435257084,0.20887739607970093,0.39647387340569507,0.26123698017080205,0.34228914642350283,0.2865986084566996,0.14125169667165863,0.02067134072127521,1337.5370833333334,116,1521.3561354166666,120,1334.120625,114,1518.16003125,116,4320.617923850575,7.933645833333333,7.103395833333333,47.536458333333336,8.971651785714286,7.742190476190476,48.04880952380952,9.637693452380953,9.934083333333334,37.20662202380952,10.078180803571428,10.153933779761903,31.485825892857143
